feature,importance
body_fat_pct,0.2630707543952909
weight_kg,0.22610813321813433
session_duration_h,0.1605810214351378
experience_level,0.1429514042731935
fitness_goal_fat_loss,0.06387838203355244
activity_level,0.03653615522417729
bmi,0.02880077512707825
height_cm,0.022468686038669895
fitness_goal_muscle_gain,0.017983894923674672
workout_frequency,0.011094606039613082
gender_Female,0.00902028642097746
fitness_goal_maintenance,0.008199246762132769
age,0.005252568703910995
gender_Male,0.004054085404456592
